Author,OA_Profile,Geographic Trajectory,Years in the US,Years in China,Geographic Trajectory (simplified),Geographic Trajectory (even more simplified),1980,1981,1987,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Xingxuan Zhang,https://openalex.org/A5054452505,China,0,5,Affiliated with one country,Started and Ended in China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,China,China,,,,,China,China
Xingzhang Ren,https://openalex.org/A5054086732,China ---> United States ---> China ---> United States,2,4,Multinational Travel ---> United States,"Started in China, Ended up in United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,China,,,China,United States,China,United States,,
Xinyu Wang,https://openalex.org/A5016518215,United States ---> Japan ---> China ---> United States ---> China ---> United States ---> China,3,16,Multinational Travel ---> China,"Started in United States, Ended up in China",,,,,,,,,,,,,,United States,,,,,Japan,China,,,,China,China,China,China,China,China,China,United States,China,United States,China,China,China,China,China,China,China
Xinyu Zhang,https://openalex.org/A5113282767,China,0,3,Affiliated with one country,Started and Ended in China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,China,China,
Xu Jin,https://openalex.org/A5040380861,China,0,5,Affiliated with one country,Started and Ended in China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,China,China,China,China,
Xuancheng Ren,https://openalex.org/A5049239373,China ---> United States ---> China,2,8,Multinational Travel ---> China,Started and Ended in China (with travel in between),,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,,China,China,China,China,China,China,United States,United States,China,
Xuejing Liu,https://openalex.org/A5101944063,China,0,3,Affiliated with one country,Started and Ended in China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,China,,,,China,
Yang An,https://openalex.org/A5100459627,France ---> China ---> Taiwan ---> China ---> Singapore ---> China ---> United States ---> China ---> Germany ---> China,1,19,Multinational Travel ---> China,"Started in France, Ended up in China",,,,,,,,,France,,,,,China,,,,China,Taiwan,,China,China,China,China,China,China,China,Singapore,China,China,United States,China,China,China,Germany,China,China,China,China,China
Yang Hao,https://openalex.org/A5111385619,United Kingdom ---> China ---> United Kingdom ---> Mexico ---> China ---> Mexico ---> China ---> United States ---> China ---> Qatar ---> China ---> United States ---> Canada ---> China ---> United States ---> China,3,14,Multinational Travel ---> China,"Started in United Kingdom, Ended up in China",United Kingdom,,,,,,,,,,United Kingdom,United Kingdom,China,,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,Mexico,China,China,Mexico,China,China,United States,China,China,Qatar,China,China,United States,Canada,China,China,China,China,United States,China
Yang Yao,https://openalex.org/A5103898808,China ---> United States ---> China,1,20,Multinational Travel ---> China,Started and Ended in China (with travel in between),,,,,,,,,,,,,,,,,China,China,,China,,China,China,China,China,China,China,China,China,China,China,China,China,United States,China,China,China,China,China,
