Author,No. Papers,Notes,OA_Profile,OA_ID,ORCID,Display_name,Display_name_alternatives,works_count,cited_by_count,2yr_mean_citedness,h_index,i10_index,ID-1989,ID-1993,ID-1994,ID-1997,ID-1999,ID-2000,ID-2001,ID-2002,ID-2003,ID-2004,ID-2005,ID-2006,ID-2007,ID-2008,ID-2009,ID-2010,ID-2011,ID-2012,ID-2013,ID-2014,ID-2015,ID-2016,ID-2017,ID-2018,ID-2019,ID-2020,ID-2021,ID-2022,ID-2023,ID-2024,ID-2025,affiliation-1989,affiliation-1993,affiliation-1994,affiliation-1997,affiliation-1999,affiliation-2000,affiliation-2001,affiliation-2002,affiliation-2003,affiliation-2004,affiliation-2005,affiliation-2006,affiliation-2007,affiliation-2008,affiliation-2009,affiliation-2010,affiliation-2011,affiliation-2012,affiliation-2013,affiliation-2014,affiliation-2015,affiliation-2016,affiliation-2017,affiliation-2018,affiliation-2019,affiliation-2020,affiliation-2021,affiliation-2022,affiliation-2023,affiliation-2024,affiliation-2025
Y. X. Zhu,3,,https://openalex.org/A5068383472,A5068383472,https://orcid.org/0009-0001-4153-1663,Y. X. Zhu,"Yuxin Zhu, Y. X. Zhu, Y. Zhu",13,45,0.0,3,1,,,,,,,,https://openalex.org/I191208505,,,,,,,,,,,,,https://openalex.org/I191208505,,,https://openalex.org/I191208505,,,,,,https://openalex.org/I181903023,,,,,,,,,Xiamen University,,,,,,,,,,,,,Xiamen University,,,Xiamen University,,,,,,Xi'an Shiyou University,
Yaohui Li,3,,https://openalex.org/A5082760644,A5082760644,,Yaohui Li,"Yaohui Li, Li Yaohui",6,14,0.0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I51622183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shaanxi University of Science and Technology,
Zhuoshu Li,3,,https://openalex.org/A5086080455,A5086080455,,Zhuoshu Li,Zhuoshu Li,6,26,0.0,3,0,,,,,,,,,,,,,,,,,,https://openalex.org/I82880672,https://openalex.org/I1174212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beihang University,University of Southern California,,,,,,,,,,,,
Xinnan Song,3,,https://openalex.org/A5090535931,A5090535931,,Xinnan Song,"Song Xin‐nan, Xinnan Song",4,22,0.0,3,1,,,,,,,,,,,,https://openalex.org/I4210154361,,,,,,,,,,,,,,https://openalex.org/I162868743,,,,,,,,,,,,,,,,,Shanghai Jian Qiao University,,,,,,,,,,,,,,Tianjin University,,,,,
Yongqiang Guo,3,,https://openalex.org/A5100298247,A5100298247,,Yongqiang Guo,"Guo Yongqiang, Guo Yong‐qiang, Yongqiang Guo",28,77,0.5,4,2,,,,,,,,https://openalex.org/I880766802,,,,,https://openalex.org/I4210097777,https://openalex.org/I200296433,,,,,,,,,,,,https://openalex.org/I4210159428,,https://openalex.org/I92403157,https://openalex.org/I17145004,https://openalex.org/I115592961,,,,,,,,,Graduate School USA,,,,,China General Nuclear Power Corporation (China),Chinese Academy of Medical Sciences & Peking Union Medical College,,,,,,,,,,,,Children's Hospital of Chongqing Medical University,,University of Science and Technology Beijing,Northwestern Polytechnical University,Jiangsu University,
Mingming Li,3,,https://openalex.org/A5100338776,A5100338776,https://orcid.org/0000-0003-4900-9375,Mingming Li,"Ming‐ming Li, Li Mingming, Mingming Li",32,706,4.8,12,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I4210125143,https://openalex.org/I4210139449,https://openalex.org/I4210165038,https://openalex.org/I24185976,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chengdu University,Ningxia Medical University General Hospital,University of Chinese Academy of Sciences,Sichuan University
Yi Zheng,3,,https://openalex.org/A5100342733,A5100342733,https://orcid.org/0000-0002-7979-1292,Yi Zheng,"Y. Zheng, Yi Ning Zheng, Yi Zheng, Zheng Yi",80,769,2.242424242424242,8,8,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I889458895,,https://openalex.org/I4391768253,https://openalex.org/I134687103,https://openalex.org/I196699116,https://openalex.org/I25757504,https://openalex.org/I4391768253,,,,,,,,,,,,,,,,,,,,,,,,,University of Hong Kong,,State Key Laboratory of Millimeter Waves,Nanjing Tech University,Wuhan University of Technology,China University of Mining and Technology,State Key Laboratory of Millimeter Waves
Peng Zhang,3,,https://openalex.org/A5100364050,A5100364050,https://orcid.org/0000-0001-8515-8875,Peng Zhang,"P. Zhang, Zhang Peng, Peng Zhang",151,3627,2.9615384615384617,33,67,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I180726961,https://openalex.org/I180726961,https://openalex.org/I154099455,https://openalex.org/I180726961,https://openalex.org/I80143920,https://openalex.org/I55022517,https://openalex.org/I180726961,,,,,,,,,,,,,,,,,,,,,,,,,Shenzhen University,Shenzhen University,Shandong University,Shenzhen University,Shandong University of Science and Technology,Heilongjiang University,Shenzhen University
Zhen Zhang,3,,https://openalex.org/A5100390145,A5100390145,https://orcid.org/0000-0001-8448-5663,Zhen Zhang,"Zhen Zhang, Zhang Zhen, ZHANG Zhen ‐, Z. Zhang",266,2472,3.06,27,65,,,,,,,,,,https://openalex.org/I145311948,,,,,https://openalex.org/I31683504,,,https://openalex.org/I145311948,,,https://openalex.org/I145311948,,,https://openalex.org/I191996457,https://openalex.org/I101479585,,https://openalex.org/I101479585,https://openalex.org/I191996457,https://openalex.org/I4210100868,https://openalex.org/I177725633,https://openalex.org/I4210086062,,,,,,,,,,Johns Hopkins University,,,,,Beijing Forestry University,,,Johns Hopkins University,,,Johns Hopkins University,,,Dalian Medical University,South China Agricultural University,,South China Agricultural University,Dalian Medical University,Second Affiliated Hospital of Dalian Medical University,Chinese University of Hong Kong,Otsuka (United States)
Hui Li,3,,https://openalex.org/A5100637295,A5100637295,https://orcid.org/0000-0002-4839-4614,Hui Li,"Hui Li, H. Li, Li Hui, Hui 晖 Li 李",132,1368,4.695652173913044,19,39,,,,,,,,,,,,,,,,,https://openalex.org/I4210165038,,,,,https://openalex.org/I19820366,https://openalex.org/I19820366,https://openalex.org/I4210135723,https://openalex.org/I204983213,https://openalex.org/I4391768066,https://openalex.org/I4210164580,https://openalex.org/I4210135723,https://openalex.org/I4391768066,https://openalex.org/I4391768066,https://openalex.org/I4210133131,,,,,,,,,,,,,,,,,University of Chinese Academy of Sciences,,,,,Chinese Academy of Sciences,Chinese Academy of Sciences,Shanghai Institute of Technical Physics,Harbin Institute of Technology,State Key Laboratory of Space Weather,National Astronomical Observatories,Shanghai Institute of Technical Physics,State Key Laboratory of Space Weather,State Key Laboratory of Space Weather,Chinese Academy of Meteorological Sciences
