id,institution_name,direct_author_count,total_author_count,direct_works_count,total_works_count,direct_citations,total_citations,num_children,num_ancestors,has_parent,is_parent
https://openalex.org/I42852656,Shenyang University,1,1,6051,6051,42355,42355,0,0,False,False
https://openalex.org/I4210165728,Clacton Hospital,1,1,42,42,875,875,0,1,True,False
https://openalex.org/I4210087032,Cambridge Scientific (United States),1,1,993,993,39609,39609,0,0,False,False
https://openalex.org/I1312106833,Biotechnology Institute,1,1,8214,8214,479796,479796,0,0,False,False
https://openalex.org/I2800368655,British Society for Antimicrobial Chemotherapy,1,1,199,199,4302,4302,0,0,False,False
https://openalex.org/I167360494,University of Wuppertal,1,1,28399,28399,679024,679024,0,0,False,False
https://openalex.org/I4210103064,Electric Propulsion Laboratory (United States),1,1,427,427,5736,5736,0,0,False,False
https://openalex.org/I1314596251,Allen Institute for Brain Science,1,1,8497,8497,443320,443320,0,1,True,False
https://openalex.org/I4210116747,Office of Science and Technology Policy,1,1,229,229,15667,15667,0,1,True,False
https://openalex.org/I13175533,Fuyang Normal University,1,1,5114,5114,31954,31954,0,0,False,False
https://openalex.org/I29955533,Center for Information Technology,1,1,3633,3633,146839,146839,0,1,True,False
https://openalex.org/I56030857,Central Electricity Generating Board,1,1,4193,4193,91475,91475,0,0,False,False
https://openalex.org/I25234659,Reinhardt University,1,1,406,406,5411,5411,0,0,False,False
https://openalex.org/I4210096503,Lucas Research,1,1,704,704,9553,9553,0,0,False,False
https://openalex.org/I4210153576,Kagawa Prefectural Central Hospital,1,1,1761,1761,23998,23998,0,0,False,False
https://openalex.org/I83683471,University of West Florida,1,1,7201,7201,173862,173862,0,1,True,False
https://openalex.org/I4210130555,International Air Transport Association,1,1,81,81,279,279,0,0,False,False
https://openalex.org/I41763900,Central Electronics Engineering Research Institute,1,1,3298,3298,28105,28105,0,1,True,False
https://openalex.org/I178535277,University of the West of England,1,1,23657,23657,701455,701455,1,0,False,True
https://openalex.org/I55124831,"J.C. Bose University of Science & Technology, YMCA",1,1,2495,2495,25631,25631,0,0,False,False
https://openalex.org/I4210164524,Eterna Massive Open Laboratory,1,1,27,27,786,786,0,1,True,False
https://openalex.org/I4210114541,Tianjin People's Hospital,1,1,2164,2164,24145,24145,0,0,False,False
https://openalex.org/I4210095179,Saint Joseph's Hospital,1,1,586,586,14481,14481,0,1,True,False
https://openalex.org/I12834331,University of Wyoming,1,1,37734,37734,1169465,1169465,1,0,False,True
https://openalex.org/I1280536761,Ames Research Center,1,1,53009,53009,1628731,1628731,2,1,True,True
https://openalex.org/I4210165171,Astellas Pharma (United States),1,1,1769,1769,50525,50525,0,1,True,False
https://openalex.org/I4210123907,National University College,1,1,3356,3356,78411,78411,0,0,False,False
https://openalex.org/I2801537753,Eppendorf (Germany),1,1,6176,6176,146239,146239,1,0,False,True
https://openalex.org/I4210090567,National Institute of Diabetes and Digestive and Kidney Diseases,1,1,21834,21834,1787132,1787132,0,1,True,False
https://openalex.org/I107766831,NSF National Center for Atmospheric Research,1,1,32507,32507,2055662,2055662,7,2,True,True
https://openalex.org/I111753288,Fujian Normal University,1,1,29969,29969,327984,327984,1,0,False,True
https://openalex.org/I1793135,Yanbian University,1,1,10389,10389,98452,98452,0,0,False,False
https://openalex.org/I66862912,Chalmers University of Technology,1,1,78306,78306,2245607,2245607,1,0,False,True
https://openalex.org/I1339014352,Rambus (United Kingdom),1,1,255,255,5843,5843,0,1,True,False
https://openalex.org/I1282105669,Argonne National Laboratory,1,1,102958,102958,3900259,3900259,5,4,True,True
https://openalex.org/I166722992,University of Massachusetts Chan Medical School,1,1,54659,54659,2844201,2844201,1,1,True,True
https://openalex.org/I4210094860,Sensor Concepts (United States),1,1,28,28,112,112,0,0,False,False
