Author ID,Author Name,Work ID,Title,DOI,Year,Publication Date,Type,Language,Citations,Topics,Co-Authors
https://openalex.org/A5073001520,Enming Yuan,https://openalex.org/W4306317296,Disentangling Past-Future Modeling in Sequential Recommendation via Dual Networks,https://doi.org/10.1145/3511808.3557289,2022,2022-10-16,article,en,10,"Recommender Systems and Techniques, Advanced Graph Neural Networks, Privacy-Preserving Technologies in Data","Hengyu Zhang, Wei Guo, Zhicheng He, Jiarui Qin, Huifeng Guo, Bo Chen, Xiu Li, Ruiming Tang"
https://openalex.org/A5073001520,Enming Yuan,https://openalex.org/W4399205993,Uncertainty Set Learning for Adaptive Robust Economic Dispatch,https://doi.org/10.1109/lcsys.2024.3408039,2024,2024-01-01,article,en,2,"Electric Power System Optimization, Energy Load and Power Forecasting, Optimal Power Flow Distribution","Nan Gu, Chenye Wu"
https://openalex.org/A5073001520,Enming Yuan,https://openalex.org/W3092564293,Understanding the phase separation characteristics of nucleocapsid protein provides a new therapeutic opportunity against SARS-CoV-2,https://doi.org/10.1101/2020.10.09.332734,2020,2020-10-12,preprint,en,5,"RNA Research and Splicing, RNA and protein synthesis mechanisms, RNA modifications and cancer","Dan Zhao, Weifan Xu, Xiaofan Zhang, Xiaoting Wang, Yuanpeng Xiong, Shenyang Wu, Shuya Li, Nian Wu, Tingzhong Tian, Xiaolong Feng, Hantao Shu, Lang Peng, Xiaokun Shen, Haitao Li, Pilong Li, Jianyang Zeng"
https://openalex.org/A5073001520,Enming Yuan,https://openalex.org/W4323556904,Compressed Interaction Graph based Framework for Multi-behavior Recommendation,https://doi.org/10.48550/arxiv.2303.02418,2023,2023-01-01,preprint,en,0,"Recommender Systems and Techniques, Mental Health via Writing, Emotion and Mood Recognition","Wei Guo, Chang Meng, Zhicheng He, Huifeng Guo, Yingxue Zhang, Bo Chen, Yaochen Hu, Ruiming Tang, Xiu Li, Rui Zhang"
https://openalex.org/A5049660040,Enzhe Lu,https://openalex.org/W4406774573,Kimi k1.5: Scaling Reinforcement Learning with LLMs,https://doi.org/10.48550/arxiv.2501.12599,2025,2025-01-21,preprint,en,3,"Robot Manipulation and Learning, Machine Learning and Data Classification, Machine Learning and Algorithms","Kimi Team, Angang Du, Bofei Gao, Bowei Xing, C. H. Jiang, Cheng Chen, Cheng Li, Chenjun Xiao, Chenzhuang Du, Chengde Liao, C.A. Tang, Congcong Wang, Dehao Zhang, Enming Yuan, Fengxiang Tang, Flood Sung, Gang Wei, Guokun Lai, Haiqing Guo, Han Zhu, Hao Ding, Hao Hu, Hao-Tsung Yang, Hao Zhang, Haotian Yao, H. W. Zhao, Haoyu Lu, Haoze Li, Haozhen Yu, Hongcheng Gao, Huabin Zheng, Huan Yuan, Jia Chen, Jianhang Guo, Jianlin Su, Jianzhou Wang, J. Zhao, Jin Zhang, Junming Liu, Junjie Yan, Junyan Wu, Lidong Shi, Ling Ye, Longhui Yu, Mengjiao Dong, Nan Zhang, Ningchen Ma, Qiwei Pan, Qucheng Gong, Shaowei Liu, Shengling Ma, Shupeng Wei, Shifeng Cao, Siying Huang, Tao Jiang, Weihao Gao, Xiong Weijun, W. He, Weixiao Huang, Wenhao Wu, Wenyang He, Xianghui Wei, Xianqing Jia, Xingzhe Wu, Xinran Xu, Xinxing Zu, X. H. Zhou, Xuehai Pan, Y F Young Charles, Yang Li, Yangyang Hu, Yangyang Liu, Yanru Chen, Y. Q. Wang, Y. Liu, Yiming Qin, Yifeng Liu, Yingguo Yang, Yiping Bao, Yulun Du, Yuxin Wu, Yuzhi Wang, Zaida Zhou, Z B Wang, Zhaowei Li, Zhen Zhu, Zheng Zhang, Z. T. Wang, Zhilin Yang, Zhiqi Huang, Zhiyi Huang, Zhao Xu, Zonghan Yang"
https://openalex.org/A5049660040,Enzhe Lu,https://openalex.org/W2104735476,Food Markets with Live Birds as Source of Avian Influenza,https://doi.org/10.3201/eid1211.060675,2006,2006-11-01,article,en,149,"Influenza Virus Research Studies, Animal Disease Management and Epidemiology, Viral gastroenteritis research and epidemiology","Ming Wang, Biao Di, Duan-hua Zhou, Bo‐Jian Zheng, Huaiqi Jing, Yongping Lin, Yufei Liu, Xinwei Wu, Pengzhe Qin, Yulin Wang, Li-Yun Jian, Xiangzhong Li, Jianxiong Xu, Tiegang Li, Jianguo Xu"
https://openalex.org/A5049660040,Enzhe Lu,https://openalex.org/W4407764033,MoBA: Mixture of Block Attention for Long-Context LLMs,https://doi.org/10.48550/arxiv.2502.13189,2025,2025-02-18,preprint,en,1,Medical Imaging Techniques and Applications,"Zhishen Jiang, Jingyuan Liu, Yulun Du, Tao Jiang, Chao Hong, Shaowei Liu, Weiran He, Enming Yuan, Yuzhi Wang, Zhiqi Huang, Huan Yuan, Suting Xu, Xinran Xu, Guokun Lai, Yanru Chen, Huabin Zheng, Junjie Yan, Jianlin Su, Yuxin Wu, Neo Y. Zhang, Zhilin Yang, Xinyu Zhou, Mingxing Zhang, Jiezhong Qiu"
https://openalex.org/A5049660040,Enzhe Lu,https://openalex.org/W3048347090,"[Epidemiological and genetic characteristics of H5 subtype avian influenza virus in Guangzhou, 2014-2019].",https://doi.org/10.3760/cma.j.cn112338-20190730-00565,2020,2020-07-10,article,en,3,"Influenza Virus Research Studies, interferon and immune responses, Animal Disease Management and Epidemiology","Longlong Cao, Y H Liu, Kangyin Li, Jianyun Lu, Y Y Chen, Donghua Xia, Biao Di, Z B Zhang"
https://openalex.org/A5065232789,Flood Sung,https://openalex.org/W2964105864,Learning to Compare: Relation Network for Few-Shot Learning,https://doi.org/10.1109/cvpr.2018.00131,2018,2018-06-01,article,en,4283,"Domain Adaptation and Few-Shot Learning, Multimodal Machine Learning Applications, Cancer-related molecular mechanisms research","Yongxin Yang, Li Zhang, Tao Xiang, Philip H. S. Torr, Timothy M. Hospedales"
https://openalex.org/A5065232789,Flood Sung,https://openalex.org/W2729842244,Actor-Critic Sequence Training for Image Captioning,https://doi.org/10.48550/arxiv.1706.09601,2017,2017-01-01,preprint,en,110,"Multimodal Machine Learning Applications, Domain Adaptation and Few-Shot Learning, Advanced Image and Video Retrieval Techniques","Li Zhang, Feng Liu, Tao Xiang, Shaogang Gong, Yongxin Yang, Timothy M. Hospedales"
